chromosome	start	end	num.mark	total_copy_number	total_copy_number_logr	logr	logr.sd
chr1	1380001	248845001	5087	2	2.02786133902814	0.0713581597119672	0.705058069977575
chr2	20001	241645001	5328	2	1.98677427763558	0.0418271262346758	0.709057707345641
chr3	20001	197885001	4333	2	2.06889118536972	0.100256920248887	0.70002712262338
chr4	75001	189150001	3772	2	1.97011546277233	0.0296793368520698	0.68756513811018
chr5	110001	181185001	3838	2	1.96506202944732	0.0259740060407078	0.719582515555151
chr6	160001	170160001	3739	2	2.02257332110096	0.0675911558152428	0.709204084485678
chr7	305001	159255001	3120	2	2.03034851323422	0.073126542557036	0.710370526041879
chr8	240001	144990001	3094	2	2.08640810163435	0.112420529261227	0.69385800066139
chr9	210001	138040001	2497	2	2.00637076881815	0.0559873870250378	0.721243506476989
chr10	80001	133440001	3158	2	1.964224063357	0.0253586629413694	0.732907262745703
chr11	205001	134690001	2930	2	1.92913598169082	-0.000646007270352234	0.772032963795062
chr12	180001	133115001	2925	2	2.01159524363856	0.0597391998274024	0.711596966172645
chr13	18940001	114265001	2026	2	1.99682085606518	0.0491040603213827	0.722745200934335
chr14	19970001	105200001	1943	2	1.94123507022086	0.00837398158739747	0.723666846465738
chr15	19950001	101640001	1827	2	1.98230820434255	0.0385804391020093	0.761604869994745
chr16	40001	89955001	1694	2	1.94051494930502	0.00783869988155879	0.773991173530566
chr17	410001	82855001	1621	2	1.98121279591506	0.0377829964512864	0.759148239617423
chr18	155001	80175001	1656	2	2.00217107366191	0.0529644016951648	0.698496126833183
chr19	2065001	58340001	810	2	1.95111112798506	0.0156951033019369	0.764612828678993
chr20	85001	63845001	1475	2	1.99816487830243	0.0500747843332359	0.747166877060874
chr21	13920001	46615001	722	2	2.08238613529408	0.109636763805669	0.687513322387937
chr22	16120001	50570001	736	2	1.85231132592969	-0.0592742485563306	0.87179941258042
chrX	2790001	155610001	3113	1	1.0053692154026	-0.940875428268822	1.036097821992
